id	task_id	ordinal	kind	title	instruction	inputs_json	output_path	checks_json	state	attempts_used	actions_used	action_budget	split_used	created_at	updated_at
1001	1	1	plan	outline	Create a novel manuscript of about 10000 words in 10 chapters at stories/structural-trial-20260704. First write a structural settings document with premise, world rules, cast, timeline, motifs, chapter architecture, and continuity facts. Then write the manuscript chapters as finished prose. Use original English fiction. Avoid TODO, placeholder text, and notes to self. Ensure the manuscript files total at least 10000 words.	"write stories/structural-trial-20260704/manuscript/chapter-01.md | Chapter 1 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-02.md | Chapter 2 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-03.md | Chapter 3 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-04.md | Chapter 4 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-05.md | Chapter 5 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-06.md | Chapter 6 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-07.md | Chapter 7 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-08.md | Chapter 8 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-09.md | Chapter 9 | words=1000
write stories/structural-trial-20260704/manuscript/chapter-10.md | Chapter 10 | words=1000"		[]	done	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1002	1	2	write	settings	write premise and facts		stories/structural-trial-20260704/settings.md	[]	done	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1003	1	3	write	chapter 01	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-01.md	[]	done	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1004	1	4	write	chapter 02	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-02.md	[]	active	9	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1005	1	5	write	chapter 03	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-03.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1006	1	6	write	chapter 04	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-04.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1007	1	7	write	chapter 05	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-05.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1008	1	8	write	chapter 06	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-06.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1009	1	9	write	chapter 07	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-07.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1010	1	10	write	chapter 08	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-08.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1011	1	11	write	chapter 09	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-09.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
1012	1	12	write	chapter 10	write 1000 to 1150 finished manuscript words, then stop		stories/structural-trial-20260704/manuscript/chapter-10.md	[]	pending	0	0	0	0	unix:1783138917.732727844Z	unix:1783141885.459075233Z
